# LAMMPS data file written by OVITO Basic 3.9.2

 56 atoms
 4 atom types

 2.4252339415 13.4120947459 xlo xhi
 3.0643297515 15.3052800292 ylo yhi
 2.4110528734 13.5265332867 zlo zhi

 Masses

 1 18.998 
 2 6.941
 3 22.989
 4 39.098

 Atoms  # atomic

 31 1 4.0474971196 3.1780342118 3.5120479441
 13 2 4.3586222406 3.8025375695 5.745541186
 35 1 2.7001222424 4.0115540472 6.2896259809
 20 1 4.6927177779 5.5799644961 5.0790810665
 6 2 2.9706483211 5.9499378926 5.8098053229
 32 1 4.80730924 4.5313974132 9.7972901904
 12 2 4.5236928999 2.7718379771 10.5458443265
 24 1 5.1684552283 8.4563438169 3.787134912
 53 4 3.8359823637 5.6202520619 2.5179109156
 28 1 3.1155542621 6.8347468118 7.5332874356
 9 2 2.8946868801 7.9165758665 9.0058112571
 14 1 4.4332581196 8.2228130749 9.9677861361
 49 4 3.9467094757 9.156463923 5.7643555375
 46 4 4.3657757818 11.1149746899 9.0142977693
 19 1 2.2841752756 9.4715365184 8.3192150414
 2 2 3.8021917671 12.7018708816 3.8684814592
 21 1 3.4480285696 11.6613523191 2.3559614621
 27 1 3.3493618249 12.2705331375 5.5782538894
 37 1 3.2549198034 13.6439299605 9.054952812
 3 2 2.7780500085 13.241863651 7.3165486578
 51 4 6.9462000852 3.1316040287 3.7516756932
 54 4 5.4802543639 6.3137287664 7.6752883895
 18 1 7.9490798298 5.4435443235 8.0916926503
 29 1 7.6038315983 5.8172159926 3.9014886138
 41 1 6.6572185892 8.0536592551 6.2008047397
 7 2 6.3143159283 6.9601058893 4.784040312
 39 1 7.8247915449 8.4169218043 11.3808679097
 8 2 5.9444616719 8.7745863602 11.1941372935
 48 4 7.8719456035 10.0265696793 4.4143164264
 10 2 6.5552806271 9.3641629613 7.4711836676
 23 1 8.1755037878 9.4119707229 8.3518666922
 17 1 5.7866883436 10.8520825858 7.0427105107
 16 1 6.5951643153 10.6675736279 10.6215575068
 5 2 8.0795420881 9.8237829363 10.1834766336
 26 1 5.8273718625 12.120522656 4.3021869018
 1 2 5.3848947839 11.5688168164 2.404936304
 4 2 5.2289547753 12.3111579318 5.8826835888
 22 1 5.7372606092 14.0966929558 6.1412259598
 50 4 7.5967229914 13.9426132503 8.4930107909
 36 1 6.0851779384 13.2775424272 10.6189504794
 42 3 10.2635200139 3.7857233561 4.6932774735
 47 4 11.1420395787 4.7514727378 9.1073577089
 30 1 9.7443490653 4.3208544145 11.3867838565
 43 3 9.3801475443 6.509827144 3.0057577541
 52 4 9.2601010577 7.6670380113 7.0816609585
 40 1 10.7206007413 6.5735633321 4.6194876595
 33 1 10.4910853032 7.1304287679 10.3101544649
 55 4 8.4289961705 6.1761507759 10.671008988
 56 4 11.2443100547 9.3465596332 2.9108519298
 34 1 10.1657160078 9.4814735184 5.2650915598
 11 2 9.766061321 10.3944972228 8.660762977
 25 1 9.5984653538 10.7341762583 10.4618816364
 15 1 9.1838924781 13.1360975498 4.15576494
 44 3 10.1932158019 11.7313609574 5.5292855286
 38 1 9.766061321 12.1413071731 7.7548391871
 45 4 10.2375749468 13.1044767567 10.9452573317

