number,T,P,T_avg,P_avg,"Dens, g/cm^3","dDens, g/cm^3","V, A^3","L, A","D_F, cm^2/s","D_Li, cm^2/s","D_Na, cm^2/s","D_K, cm^2/s"
56,600.0,0.0,591.8823214770459,122.5458737844311,2.1828387311377244,0.05107773901870467,883.1671371656687,9.59432222554821,1.6551139620862503e-06,2.9308597686192488e-06,4.170231940665347e-06,2.726387847851751e-06
56,600.0,0.0,601.9472402994012,-17.282494689421213,2.1602173003992013,0.05087396173757461,892.421178502994,9.627716410115887,1.5275682542196719e-06,3.028746872319735e-06,1.434056934208066e-06,1.5827436225148245e-06
56,600.0,0.0,601.277823532934,153.3036655269462,2.180916647305389,0.060702254979588074,884.1523710179641,9.597888609077668,2.0865499572138535e-06,2.803080329253726e-06,1.4007769903439718e-06,2.7912294437794162e-06
56,600.0,0.0,595.9879915568863,-132.30919071277447,2.1717143467065867,0.05775328357063858,887.835156966068,9.611196272045428,1.681368066018997e-06,1.7286259834613945e-06,7.9356258043696e-07,2.7248635844015813e-06
56,600.0,0.0,595.9752134530938,142.15709471572856,2.1444862049900197,0.05567266943229829,899.0770131137725,9.651592220700897,9.885118884996616e-07,9.250631311294233e-07,1.3184738402892164e-06,8.377162740874855e-07
56,600.0,0.0,601.4024125349301,114.23431206187632,2.1630261982035925,0.049197725893914544,891.2307758283433,9.623433694245017,1.699943735634861e-06,1.3142303268748005e-06,4.6365376174075973e-07,1.095382767959379e-06
56,600.0,0.0,600.9095195608783,73.42836821956095,2.166548788622755,0.049035683944092835,889.7784803592814,9.618203598244547,4.765475719573836e-07,9.533032322874195e-07,3.3979747626619335e-07,4.742871576182091e-07
56,600.0,0.0,599.4632956487027,51.37042336626749,2.1435819267465073,0.04875866958552852,899.312336506986,9.652434212828839,3.1252164217045166e-06,2.4270214809263824e-06,3.3187984318451274e-06,5.66377408291574e-06
56,600.0,0.0,598.6606897604792,-86.4214191816367,2.1671969910179643,0.059170819357944666,889.7233171856287,9.61800482907075,3.40537120699613e-06,2.7212389152517997e-06,2.1716055986325158e-06,2.3707981296524997e-06
56,600.0,0.0,595.7916343912175,-145.9646313518963,2.1835340057884234,0.055529202087661274,882.978094530938,9.59363761924076,2.0272961863127377e-06,1.3149745498399679e-06,1.112521570699892e-06,1.8577792562194706e-06
56,700.0,0.0,701.6761661876247,-117.37881124950108,2.11645314750499,0.06170118146847634,911.1439124151696,9.694579862109554,4.149049858441224e-06,5.638090269716947e-06,2.7479137208599203e-06,3.0943445947769303e-06
56,700.0,0.0,698.2831897804392,17.886306590818357,2.121219871257485,0.06086739078011163,909.0773655888223,9.687244954655354,2.987492622681875e-06,5.947709051619217e-06,4.320979044969838e-06,3.6851826813279217e-06
56,700.0,0.0,700.2078073453093,-39.97940309181636,2.1280181171656687,0.059056680047048934,906.1175042514969,9.676719969666626,5.543079610573762e-06,3.0173335042658937e-06,1.3455325120069119e-06,3.4972839042599587e-06
56,700.0,0.0,704.8696391217566,-240.11405289421157,2.1106488844311375,0.05933103201289697,913.5973359680639,9.703273546938023,6.048024699653682e-06,3.7833364542673305e-06,1.909226118668924e-06,1.1868681733508812e-06
56,700.0,0.0,699.4499641716567,-212.90128982554884,2.109387650499002,0.05884256671966432,914.1342169860279,9.705173903926823,6.583071435978153e-06,8.659785302965656e-06,1.0964427091513532e-06,4.925176657584899e-06
56,700.0,0.0,702.5405008582835,106.15801251696607,2.156016115369262,0.06608423990603352,894.5139006387226,9.635236180352292,3.285990149416923e-06,1.8946357173305014e-06,2.204450624829713e-06,1.7644560855263772e-06
56,700.0,0.0,700.1244749500997,-60.66805609580839,2.1163860772455094,0.053578585244339866,910.9859668263474,9.694019648883648,3.252514594951346e-06,2.5118873145320057e-06,1.4489062162298942e-07,2.2525204754011983e-06
56,700.0,0.0,702.3500207584831,-111.69603390039919,2.1235962650698603,0.05774568124138164,907.984724770459,9.683362291805647,6.847591633235983e-06,5.4407046954531635e-06,9.202008528818459e-06,3.353026462138672e-06
56,700.0,0.0,698.0823757085828,-18.702669447105755,2.149296515369261,0.06638869090649006,897.3214815369261,9.64530625013487,1.7930037790518518e-06,1.6870806825542547e-06,7.611428394775325e-07,7.693948150702349e-07
56,700.0,0.0,698.6039830339321,37.94107892015965,2.110939009780439,0.06318796264395345,913.5712964670658,9.703181357964525,1.9189673725675383e-06,1.3799056104045227e-06,1.6953167109103564e-06,1.422385841338178e-06
56,800.0,0.0,797.5043832934132,130.7169839354691,2.0741536107784433,0.0694236076872303,929.9726113972056,9.760904254900696,1.752262725171146e-05,1.3280656732485068e-05,2.583970786858636e-05,1.123705890988627e-05
56,800.0,0.0,799.8166128542914,-262.04314067664666,2.0876517758483035,0.06662963063223702,923.8787467065868,9.73953730761308,1.1129311300000014e-05,9.387816910935155e-06,3.1952633926451633e-06,9.036723832661416e-06
56,800.0,0.0,804.0693105588822,197.82827666666662,2.0747796361277446,0.06505952540158863,929.5810734131736,9.75953421410571,1.0683319242139735e-05,1.3237102501886011e-05,6.107519285732637e-06,7.908712809698226e-06
56,800.0,0.0,793.3448171856287,-127.94781357285436,2.076741535928144,0.06127567060989021,928.5852337325349,9.75604791103188,1.2341353380694088e-05,1.1016642441651002e-05,6.1757250454415304e-06,1.3427522270375675e-05
56,800.0,0.0,804.4368246506987,29.814743681636717,2.058875507185629,0.06760284975286036,936.8421127345309,9.784879196912266,1.6046045967515454e-05,1.1681986366337204e-05,1.5378002671856003e-05,1.0296576145178811e-05
